id_kinopoisk,title,genres,actors,description,countries
46376,Небесный тихоход,"['Комедия', 'Военный']","['Николай Крючков', 'Василий Меркурьев', 'Василий Нещипленко', 'Алла Парфаньяк', 'Людмила Глазова', 'Тамара Алешина', 'Яков Гудкин', 'Фаина Раневская', 'Константин Скоробогатов', 'Семен Тимошенко']","Три друга, летчики-офицеры, поклялись не любить до конца войны. Однако военная служба познакомила их с летчицами женской эскадрильи. И друзья один за другим начали сдавать свои позиции.После тяжелого ранения летчик Булочкин вынужден летать не на скоростном истребителе, а на «тихоходе» У-2. Привыкший к опасностям Булочкин с трудом привыкает к спокойной жизни в эскадрилье, где большинство летчиков  девушки. Но вскоре становится ясно, что на войне важны и «тихоходы».",['СССР']
44045,Свадьба в Малиновке,"['Мюзикл', 'Комедия', 'Военный']","['Владимир Самойлов', 'Людмила Алфимова', 'Валентина Николаенко', 'Евгений Лебедев', 'Зоя Фёдорова', 'Гелий Сысоев', 'Михаил Пуговкин', 'Николай Сличенко', 'Андрей Абрикосов', 'Григорий Абрикосов', 'Валентина Левко', 'Галина Ковалева', 'Михаил Егоров']","Идёт гражданская война. В украинской деревне то и дело меняется власть. Чтобы разделаться с бандой головорезов, красный командир уговаривает девушку Яринку разыграть её свадьбу с атаманом",['СССР']
29818,Снежная королева,"['Мультфильм', 'Мюзикл', 'Фэнтези', 'Приключения', 'Семейный']","['Владимир Грибков', 'Мария Бабанова', 'Янина Жеймо', 'Сергей Мартинсон', 'Анна Комолова', 'Галина Кожакина', 'Варвара Попова', 'Алексей Консовский', 'Ирина Мурзаева', 'Елена Понсова']","В один из морозных зимних вечеров, когда сквозь расписанные причудливым узором окна уютных, теплых домов прокрадывается темнота, а во дворе тревожно завывает вьюга, Снежная королева умчала маленького Кая в свои ледяные владения и превратила его доброе отзывчивое сердце в осколок льдинки. Через множество испытаний пришлось пройти верной Герде, чтобы добраться до чертогов Снежной королевы и спасти мальчика, освободить его из ледового плена, где царят душевный холод и безразличие.",['СССР']
26821,Брак по-итальянски,"['Драма', 'Мелодрама', 'Комедия']","['Софи Лорен', 'Марчелло Мастроянни', 'Альдо Пульизи', 'Текла Скарано', 'Марилу Толо', 'Джанни Ридольфи', 'Дженеросо Кортини', 'Вито Мориконе', 'Рита Пиччоне', 'Лино Маттера', 'Серафима Холина', 'Евгений Весник', 'Борис Рунге', 'Елена Понсова', 'Владимир Осенев']","Нелегкая судьба Филумены Мартурано, героини одноименной пьесы Эдуардо де Филиппо, была близка всем советским женщинам. Ну а жизненным проблемам и устремлениям Доменико сочувствовали все мужчины. Нужда приводит юную Филумену в публичный дом, где она и знакомится с любвеобильным красавцем Доменико.Спустя годы они встречаются вновь и она становится хозяйкой в его доме, но несмотря на их многолетнюю связь, он постоянно отказывается официально оформить их отношения. И вот наступил критический момент  убежденный холостяк Доменико решает жениться на одной из своих многочисленных пассий. У любящей его Филумены остается последнее средство","['Италия', 'Франция']"
8151,Интервью с вампиром,"['Ужасы', 'Фэнтези', 'Драма']","['Том Круз', 'Брэд Питт', 'Стивен Ри', 'Антонио Бандерас', 'Кристиан Слэйтер', 'Кирстен Данст', 'Домициана Джордано', 'Тэнди Ньютон', 'Роджер Ллойд Пэк', 'Джордж Келли', 'Владимир Вихров', 'Никита Прозоровский', 'Валерий Сторожик', 'Александр Новиков', 'Юрий Маляров']","К падкому на сенсации журналисту приходит вампир, чтобы поведать историю своей жизни. Все началось в 1791 году, когда молодой плантатор Луи, потеряв жену и ребенка, захотел умереть, но «родился для мрака» и обрёл вечную жизнь.",['США']
8421,Эдвард руки-ножницы,"['Фэнтези', 'Драма', 'Мелодрама']","['Джонни Депп', 'Вайнона Райдер', 'Дайэнн Уист', 'Алан Аркин', 'Энтони Майкл Холл', 'Кэти Бейкер', 'Роберт Оливери', 'Кончата Феррелл', 'Кэролайн Аарон', 'Дик Энтони Уильямс']","Старый и одинокий учёный создал человеческое существо. Но не успел доделать его до конца и умер. У сотворённого им молодого человека не хватает рук  вместо них у него нечто вроде ножниц, и он вынужден жить в заброшенном доме в полном одиночестве. Но вот однажды он знакомится с прекрасной девушкой, которая смогла оценить его доброе сердце.",['США']
799,Вспоминая Титанов,"['Биография', 'Спорт', 'Драма']","['Дензел Вашингтон', 'Уилл Пэттон', 'Вуд Харрис', 'Райан Херст', 'Дональд Фэйсон', 'Крэйг Кирквуд', 'Итан Сапли', 'Кип Парду', 'Хайден Панеттьери', 'Николь Ари Паркер']","Тренер школьной команды по американскому футболу Билл Йост, добившийся значимых успехов с командой, чьи заслуги нашли свое признание в виде увековечивания имени тренера в Зале Славы, принимает решение уйти на пенсию, а взамен приглашает нового тренера  Германа Буна. Герман Бун  афроамериканец, и многие белые игроки команды бойкотируют игры и тренировки, пока их прежний тренер не соглашается занять должность ассистента Германа Буна. Но это только первое препятствие на пути Буна и команды, которая должна стать единым целым и принять своего нового тренера, на пути к чемпионству штата",['США']
9208,Отпетые мошенники,"['Комедия', 'Криминал']","['Стив Мартин', 'Майкл Кейн', 'Гленн Хедли', 'Антон Роджерс', 'Барбара Харрис', 'Иен Макдермид', 'Дэна Айви', 'Меган Фэй', 'Фрэнсис Конрой', 'Николь Кальфан', 'Виталий Соломин', 'Юльен Балмусов', 'Ирина Савина', 'Владимир Ферапонтов', 'Наталья Гурзо']","Судьба сводит двух отпетых мошенников  Фредди Бенсона и Лоуренса Джемисона, специализирующихся в качестве жиголо в оболванивании богатеньких дам. В городке где-то на юге Франции Фредди сначала берет уроки у мэтра Лоуренса, но, повздорив, коллеги заключают пари: кто из них первый охмурит незнакомую богатую женщину, тот остается в городе, а проигравший должен убраться. Предмет спора не замедлил явиться в виде симпатичной и обаятельной миллионерши из Америки  Дженет.",['США']
15188,Девичий источник,"['Драма', 'Криминал']","['Макс фон Сюдов', 'Биргитта Вальберг', 'Гуннель Линдблум', 'Биргитта Петтерссон', 'Аксель Дюберг', 'Тор Иседаль', 'Аллан Эдвалль', 'Ове Порат', 'Аксель Слангус', 'Гудрун Брост']","Юная Карин, избалованная родительской заботой и любовью, протанцевала всю ночь и проспала заутреню. Но канон требует, чтобы непорочная девушка совершила паломничество в далекую церковь. Карин покидает хутор вместе со сводной сестрой-язычницей. Она держит путь через глухой лес, где судьба готовит ей страшную встречу с тремя бродягами",['Швеция']
707,Ледниковый период,"['Мультфильм', 'Фэнтези', 'Комедия', 'Приключения', 'Семейный']","['Рэй Романо', 'Джон Легуизамо', 'Дэнис Лири', 'Горан Вишнич', 'Джек Блэк', 'Седрик «Развлекатель»', 'Стивен Рут', 'Дидрих Бадер', 'Алан Тьюдик', 'Лорри Бэгли', 'Степан Старчиков', 'Антон Комолов', 'Александр Груздев', 'Владимир Радченко', 'Николай Денисов']","Действие разворачивается 20 тыс. лет назад. Чтобы избежать приближающегося из-за наступления ледникового периода холода, животные мигрируют на юг. Однако некоторые из них всё-таки решают остаться  одинокий, угрюмый мамонт Манфред, а также бесшабашный ленивец Сид.Случайно эта парочка наталкивается на человеческого детёныша. Они решаются вернуть его людям и отправляются в путешествие. По пути они встречают саблезубого хитрого тигра. И теперь этой веселой компании предстоят забавные приключения!",['США']
485311,Король говорит!,"['Драма', 'Биография', 'История']","['Колин Фёрт', 'Джеффри Раш', 'Хелена Бонем Картер', 'Гай Пирс', 'Тимоти Сполл', 'Энтони Эндрюс', 'Майкл Гэмбон', 'Клэр Блум', 'Дерек Джекоби', 'Дженнифер Эль', 'Игорь Тарадайкин', 'Борис Клюев', 'Елена Соловьева', 'Анатолий Белый', 'Алексей Колган']","Сюжет ленты расскажет о герцоге, который готовится вступить в должность британского короля Георга VI, отца нынешней королевы Елизаветы II. После того, как его брат отрекается от престола, герой неохотно соглашается на трон. Измученный страшным нервным заиканием и сомнениями в своих способностях руководить страной, Георг обращается за помощью к неортодоксальному логопеду по имени Лайонел Лог.","['Великобритания', 'США', 'Австралия']"
436263,Брестская крепость,"['Драма', 'Военный']","['Алексей Копашов', 'Андрей Мерзликин', 'Павел Деревянко', 'Александр Коршунов', 'Евгений Цыганов', 'Максим Костромыкин', 'Анатолий Кот', 'Яна Есипович', 'Сергей Цепов', 'Анна Цуканова-Котт']","Фильм рассказывает о героической обороне Брестской крепости, которая приняла на себя первый удар немецко-фашистских захватчиков 22 июня 1941 года. С документальной точностью описываются события, происходившие в первые дни обороны. Фильм рассказывает о главных трёх очагах сопротивления, возглавляемых командиром полка Петром Гавриловым, комиссаром Ефимом Фоминым и начальником 9-й погранзаставы Андреем Кижеватовым.","['Россия', 'Беларусь']"
367,Реквием по мечте,['Драма'],"['Джаред Лето', 'Марлон Уайанс', 'Дженнифер Коннелли', 'Эллен Бёрстин', 'Кристофер Макдональд', 'Луиза Лэссер', 'Марсия Джин Кертц', 'Джанет Сарно', 'Сюзанн Шеперд', 'Джоэнн Гордон', 'Олег Вирозуб', 'Денис Беспалый', 'Татьяна Весёлкина', 'Марина Дюжева', 'Олег Куценко']","Каждый стремится к своей заветной мечте. Сара Голдфарб мечтала сняться в известном телешоу, ее сын Гарольд с другом Тайроном  сказочно разбогатеть, подруга Гарольда Мэрион грезила о собственном модном магазине, но на их пути были всевозможные препятствия. Все они выбирают неочевидные пути достижения своих целей, и мечты по-прежнему остаются недостижимыми, а жизни героев рушатся безвозвратно.",['США']
470769,Цветок пустыни,"['Драма', 'Биография']","['Лия Кебеде', 'Салли Хокинс', 'Крэйг Паркинсон', 'Мира Сайал', 'Сорая Омар-Скего', 'Тимоти Сполл', 'Энтони Маки', 'Джульет Стивенсон', 'Идрисс Абдиллахи Хуфанех', 'Ава Саид Дарар']","История Варис Дирие  простой девочки-кочевницы из Сомали. В 13 лет она сбежала из семьи, добралась до Могадишо, а потом оказалась в Лондоне. Через несколько лет ей удалось стать одной из популярнейших моделей мира.Варис не была первой темнокожей топ-моделью, но она стала первой женщиной, которая публично осудила практику женского обрезания, была назначена специальным послом ООН и создала Фонд по борьбе с FGM.","['Великобритания', 'Германия', 'Австрия', 'Франция']"
